"City","StateShort","StateFull","County","CityAlias"
"Holtsville","AL","Alabama","SUFFOLK","Internal Revenue Service"
"Holtsville","NY","New York","SUFFOLK","Holtsville"
"Adjuntas","PR","Puerto Rico","ADJUNTAS","URB San Joaquin"
"Adjuntas","PR","Puerto Rico","ADJUNTAS","Jard De Adjuntas"
"Adjuntas","PR","Puerto Rico","ADJUNTAS","Colinas Del Gigante"
"Adjuntas","PR","Puerto Rico","ADJUNTAS","Adjuntas"
"Aguada","PR","Puerto Rico","AGUADA","Comunidad Las Flores"
"Aguada","PR","Puerto Rico","AGUADA","URB Isabel La Catolica"
"Aguada","PR","Puerto Rico","AGUADA","Alts De Aguada"
"Aguada","PR","Puerto Rico","AGUADA","Bo Guaniquilla"
"Holtsville","AL","Alabama","SUFFOLK","Internal Revenue Service"
"Holtsville","NY","New York","SUFFOLK","Holtsville"
"Adjuntas","PR","Puerto Rico","ADJUNTAS","URB San Joaquin"
"Adjuntas","PR","Puerto Rico","ADJUNTAS","Jard De Adjuntas"
"Adjuntas","PR","Puerto Rico","ADJUNTAS","Colinas Del Gigante"
"Adjuntas","PR","Puerto Rico","ADJUNTAS","Adjuntas"
"Aguada","PR","Puerto Rico","AGUADA","Comunidad Las Flores"
"Aguada","PR","Puerto Rico","AGUADA","URB Isabel La Catolica"
"Aguada","PR","Puerto Rico","AGUADA","Alts De Aguada"
"Aguada","PR","Puerto Rico","AGUADA","Bo Guaniquilla"
